BAIRRO,CASOS_CONFIRMADOS,COEFICIENTE_INCIDENCIA,POPULACAO,RECUPERADOS,CIDADE,procurar,raw,LATITUDE,LONGITUDE,POINT
Candeal,2031,149.86,13553,1957,Salvador,"Salvador, Candeal","Candeal, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40296-210, Brasil",,-384.813.605,"12 59m 40.4693s S, 38 28m 52.8978s W"
Canela,814,152.46,5339,764,Salvador,"Salvador, Canela","Canela, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.929.978,-385.210.151,"12 59m 34.7921s S, 38 31m 15.6544s W"
Capelinha,982,61.25,16033,936,Salvador,"Salvador, Capelinha","Capelinha, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40395-200, Brasil",-129.292.677,-384.837.569,"12 55m 45.3637s S, 38 29m 1.52484s W"
Cassange,203,43.82,4633,182,Salvador,"Salvador, Cassange","Cassange, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41507-050, Brasil",-128.751.229,-383.798.065,"12 52m 30.4424s S, 38 22m 47.3034s W"
Castelo Branco,2997,89.44,33510,2856,Salvador,"Salvador, Castelo Branco","Salvador, Penamacor, Castelo Branco, Portugal",-12.904.216,-38.434.333,"40 5m 19.6163s N, 7 5m 26.9056s W"
Centro,3716,236.76,15695,3577,Salvador,"Salvador, Centro","Centro, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.868.142,-385.198.145,"12 59m 12.5311s S, 38 31m 11.3322s W"
Centro Administrativo da Bahia,95,0.0,0,86,Salvador,"Salvador, Centro Administrativo da Bahia","Centro Administrativo da Bahia, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.491.408,-384.310.335,"12 56m 56.9069s S, 38 25m 51.7206s W"
Centro Historico,89,39.5,2253,87,Salvador,"Salvador, Centro Historico","Centro Histórico, San Salvador, Departamento de San Salvador, 1011, El Salvador",-12.973.174,-38.509.728,"13 41m 55.8973s N, 89 11m 38.8569s W"
Chame - Chame,397,0.0,0,373,Salvador,"Salvador, Chame - Chame","Chame-Chame, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41140-460, Brasil",-130.043.121,-385.203.731,"13 0m 15.5236s S, 38 31m 13.3432s W"
Chapada do Rio Vermelho,149,6.79,21955,146,Salvador,"Salvador, Chapada do Rio Vermelho","Chapada do Rio Vermelho, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-130.053.325,-384.802.303,"13 0m 19.197s S, 38 28m 48.8291s W"
Cidade Nova,1702,90.91,18722,1624,Salvador,"Salvador, Cidade Nova","Cidade Nova, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40315-230, Brasil",-129.639.484,-384.849.824,"12 57m 50.2142s S, 38 29m 5.93664s W"
Colinas de Periperi,49,0.0,0,48,Salvador,"Salvador, Colinas de Periperi","Vila Colinas de Periperi, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-1.286.457.905,-3.845.839.921.835.810,"12 51m 52.4846s S, 38 27m 30.2372s W"
Comercio,323,240.15,1345,309,Salvador,"Salvador, Comercio","Comércio, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-12.969.817,-385.112.709,"12 58m 11.3412s S, 38 30m 40.5752s W"
Cosme de Farias,2794,72.87,38341,2636,Salvador,"Salvador, Cosme de Farias","Cosme de Farias, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40253-090, Brasil",-129.801.002,-38.489.061,"12 58m 48.3607s S, 38 29m 20.6196s W"
Costa Azul,2347,116.17,20204,2248,Salvador,"Salvador, Costa Azul","Costa Azul, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.932.632,-384.448.701,"12 59m 35.7475s S, 38 26m 41.5324s W"
Coutos,1998,76.83,26005,1864,Salvador,"Salvador, Coutos","Coutos, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40800-570, Brasil",-128.502.501,-38.468.478,"12 51m 0.90036s S, 38 28m 6.5208s W"
